group_prob,misclass_prob,pop_size,pval_mean,pval_median,pval_std,pval_min,pval_max,time_cost
"(0.60000000000000009, 0.39999999999999991)",0.4,1000,178933.889074,179812.153838,3883.71488709,183057.673268,173335.407889,0.461724996567
"(0.60000000000000009, 0.39999999999999991)",0.4,10000,17704833.0358,17681119.1422,119539.779542,17958944.0235,17564173.1897,4.42259001732
"(0.60000000000000009, 0.39999999999999991)",0.4,100000,1769664535.94,1769914919.46,2085434.98051,1771758502.21,1764621517.72,43.8024330139
"(0.60000000000000009, 0.39999999999999991)",0.4,1000000,1.76832044781e+11,1.76805501758e+11,80000952.5735,1.76981573041e+11,1.7668901202e+11,440.917183161
"(0.60000000000000009, 0.39999999999999991)",0.45,100,1771.25998186,1776.26625688,91.5862385429,1916.28286003,1650.47861866,0.0711481571198
"(0.60000000000000009, 0.39999999999999991)",0.45,1000,170795.934113,169709.950698,4114.01404515,181208.459083,166158.09505,0.462167978287
"(0.60000000000000009, 0.39999999999999991)",0.45,10000,16937703.1724,16928500.7935,43486.6949293,17039692.3264,16876354.2698,4.4774491787
"(0.60000000000000009, 0.39999999999999991)",0.45,100000,1696584403.27,1696409643.28,2459791.10981,1700402898.58,1692676738.91,44.5838980675
"(0.60000000000000009, 0.39999999999999991)",0.45,1000000,1.69465913274e+11,1.69459194516e+11,74636216.4037,1.69604839016e+11,1.69350620344e+11,445.026148081
"(0.65000000000000013, 0.34999999999999987)",0.0,100,2811.45298654,2768.31264995,316.872366964,3465.51161099,2379.09434147,0.0680320262909
"(0.65000000000000013, 0.34999999999999987)",0.0,1000,282633.184061,282255.165982,8110.81628546,298842.668557,267178.431456,0.42413187027
"(0.65000000000000013, 0.34999999999999987)",0.0,10000,28660873.9752,28533741.2002,405444.568077,29649894.4864,28214656.7768,4.08360910416
"(0.65000000000000013, 0.34999999999999987)",0.0,100000,2855582672.58,2856529398.07,14761716.5763,2878190071.16,2834294594.32,40.7104790211
"(0.65000000000000013, 0.34999999999999987)",0.0,1000000,2.85674095612e+11,2.85460711522e+11,472436481.777,2.86751472331e+11,2.85181739146e+11,406.239872932
"(0.65000000000000013, 0.34999999999999987)",0.05,100,2780.81808669,2781.6474055,247.938105205,3102.73511748,2340.91206737,0.0673429965973
"(0.65000000000000013, 0.34999999999999987)",0.05,1000,273072.40835,272093.570099,8070.54622807,287093.165937,261643.316516,0.431466817856
"(0.65000000000000013, 0.34999999999999987)",0.05,10000,26914415.2443,26944452.2789,309234.998639,27322667.7439,26417609.5827,4.11089205742
"(0.65000000000000013, 0.34999999999999987)",0.05,100000,2692003011.84,2688544716.47,10409417.5447,2710261738.73,2681270272.07,40.9660868645
"(0.65000000000000013, 0.34999999999999987)",0.05,1000000,2.68551243831e+11,2.68542885774e+11,355390213.123,2.69061416575e+11,2.67973910809e+11,410.767946005
"(0.65000000000000013, 0.34999999999999987)",0.1,100,2699.49788253,2662.77075973,401.575299622,3719.80265841,2199.76643268,0.0676038265228
"(0.65000000000000013, 0.34999999999999987)",0.1,1000,255577.205439,248497.514722,12194.5203846,274336.394958,241908.522213,0.430296897888
"(0.65000000000000013, 0.34999999999999987)",0.1,10000,25198743.3138,25282200.4969,363991.085163,25627173.9481,24349904.1969,4.17063689232
"(0.65000000000000013, 0.34999999999999987)",0.1,100000,2523685092.24,2518796977.23,15369394.0502,2548855817.37,2497249597.89,41.5910708904
"(0.65000000000000013, 0.34999999999999987)",0.1,1000000,2.52458666178e+11,2.52453418623e+11,344347543.262,2.53277122196e+11,2.52054218221e+11,413.543511152
"(0.65000000000000013, 0.34999999999999987)",0.15,100,2418.1069763,2330.18848486,349.51312104,3174.66266435,2047.11372158,0.0692119598389
"(0.65000000000000013, 0.34999999999999987)",0.15,1000,237161.838005,231321.345658,12460.0930533,259366.303773,222976.750219,0.435950040817
"(0.65000000000000013, 0.34999999999999987)",0.15,10000,23739401.8646,23742314.2421,256271.684004,24319202.5833,23316531.5087,4.20975494385
"(0.65000000000000013, 0.34999999999999987)",0.15,100000,2373070821.16,2374009203.35,7858783.0331,2384487259.24,2357249721.15,41.73548913
"(0.65000000000000013, 0.34999999999999987)",0.15,1000000,2.37773076053e+11,2.3777151012e+11,324160366.091,2.38465379271e+11,2.3728769836e+11,418.660540819
"(0.65000000000000013, 0.34999999999999987)",0.2,100,2263.44068617,2105.37613693,336.576667087,2933.32702797,1871.0382819,0.0693080425262
"(0.65000000000000013, 0.34999999999999987)",0.2,1000,223753.853717,222233.922741,5672.05036784,233711.727062,216023.453425,0.441875934601
"(0.65000000000000013, 0.34999999999999987)",0.2,10000,22157065.5383,22157993.0557,227469.892823,22607781.7954,21782846.6202,4.26351189613
"(0.65000000000000013, 0.34999999999999987)",0.2,100000,2239039863.08,2239166731.75,11282939.8441,2254914074.19,2222687260.15,42.3803670406
"(0.65000000000000013, 0.34999999999999987)",0.2,1000000,2.2372820351e+11,2.23742053121e+11,309077923.387,2.24307067349e+11,2.23242668375e+11,423.049300909
"(0.65000000000000013, 0.34999999999999987)",0.25,100,2366.45288675,2272.83352242,310.109105399,3112.58070648,2059.88613205,0.0695490837097
"(0.65000000000000013, 0.34999999999999987)",0.25,1000,211465.006509,213215.829098,4419.29457968,217783.925776,205302.420869,0.446439981461
"(0.65000000000000013, 0.34999999999999987)",0.25,10000,21121781.5213,21126247.9373,147899.733135,21398115.1588,20908082.6851,4.27855610847
"(0.65000000000000013, 0.34999999999999987)",0.25,100000,2111325047.99,2110223319.03,4287123.30878,2119422175.66,2105115812.47,42.9435150623
"(0.65000000000000013, 0.34999999999999987)",0.25,1000000,2.11012368439e+11,2.10960481203e+11,224611897.523,2.11383727891e+11,2.10714559154e+11,426.73920989
"(0.65000000000000013, 0.34999999999999987)",0.3,100,2193.75996413,2156.17253032,192.429395287,2637.48987727,1940.26598302,0.0688791275024
"(0.65000000000000013, 0.34999999999999987)",0.3,1000,198626.414191,199065.435955,6639.64621221,210716.285884,188171.376933,0.448765993118
"(0.65000000000000013, 0.34999999999999987)",0.3,10000,19935194.2292,19949277.1944,206123.028453,20254851.7013,19512876.0664,4.32120895386
"(0.65000000000000013, 0.34999999999999987)",0.3,100000,1989970979.42,1989858683.91,4458250.49491,1999634994.01,1981006600.43,43.2286689281
"(0.65000000000000013, 0.34999999999999987)",0.3,1000000,1.99405471894e+11,1.99392072349e+11,197170824.558,1.99700591594e+11,1.98903936659e+11,431.293656826
"(0.65000000000000013, 0.34999999999999987)",0.35,100,1990.16132534,1961.71172581,208.224802496,2463.08120689,1722.39880489,0.0715010166168
"(0.65000000000000013, 0.34999999999999987)",0.35,1000,188998.632479,188570.445174,3656.18806867,195349.004853,181784.010634,0.451242923737
"(0.65000000000000013, 0.34999999999999987)",0.35,10000,18890452.2106,18912525.6643,123583.395297,19094120.3878,18688394.3799,4.38745617867
"(0.65000000000000013, 0.34999999999999987)",0.35,100000,1884365384.32,1884704594.32,2355451.26846,1886982758.01,1879660179.91,43.4873459339
"(0.65000000000000013, 0.34999999999999987)",0.35,1000000,1.88784599615e+11,1.88805762089e+11,135679909.333,1.88981739453e+11,1.88506916284e+11,435.372606039
"(0.65000000000000013, 0.34999999999999987)",0.4,100,1799.33809856,1774.21424528,114.040808924,1987.57577689,1601.53799318,0.0704510211945
"(0.65000000000000013, 0.34999999999999987)",0.4,1000,177609.652445,178055.582356,3830.64999394,185305.952492,170815.105259,0.457373857498
"(0.65000000000000013, 0.34999999999999987)",0.4,10000,17935786.9894,17915440.5791,150519.809445,18253157.2563,17753069.2102,4.43004608154
"(0.65000000000000013, 0.34999999999999987)",0.4,100000,1792423419.51,1791412223.42,3187014.49033,1798836330.54,1788953005.36,44.0567059517
"(0.65000000000000013, 0.34999999999999987)",0.4,1000000,1.7908800535e+11,1.79100311759e+11,67576766.8816,1.79170234435e+11,1.7895577771e+11,440.99772191
"(0.65000000000000013, 0.34999999999999987)",0.45,100,1728.2579819,1732.96766491,46.6604500387,1807.50995903,1651.16197054,0.0768809318542
"(0.65000000000000013, 0.34999999999999987)",0.45,1000,172293.58648,171779.992036,2899.79253845,179368.078618,168031.703673,0.463898897171
"(0.65000000000000013, 0.34999999999999987)",0.45,10000,16977266.9427,16931585.2336,112902.611705,17132602.0739,16807051.5698,4.4963760376
